Name,Education,Branch,Section
Alfonso S Gozalo,MS,Comparative Medicine Branch,Twinbrook III
Alfonso S Gozalo,DVM,Comparative Medicine Branch,Twinbrook III
Bernadette Alisantosa,MPVM,Comparative Medicine Branch,Building 50
Bernadette Alisantosa,DVM,Comparative Medicine Branch,Building 50
Daniel R Paré,DVM,Comparative Medicine Branch,Buildings 4 and 10/11C127
Deepti Chadalavada,DVM,Comparative Medicine Branch,Building 14B South
Deepti Chadalavada,PhD,Comparative Medicine Branch,Building 14B South
Ian Moore,PhD,Comparative Medicine Branch,Infectious Disease Pathogenesis Section
Ian Moore,DVM,Comparative Medicine Branch,Infectious Disease Pathogenesis Section
Randy Elkins,DVM,Comparative Medicine Branch,Office of the Animal Program Director
Rashida M Moore,DVM,Comparative Medicine Branch,Building 33
Richard Herbert,DVM,Comparative Medicine Branch,Building NIHAC/103
Temeri Wilder-Kofie,DVM,Comparative Medicine Branch,Building 33
Ana Olivera,PhD,Laboratory of Allergic Diseases,Mast Cell Biology Section
Daniella M Schwartz,MD,Laboratory of Allergic Diseases,Food Allergy Research Section
Dean Metcalfe,MD,Laboratory of Allergic Diseases,Mast Cell Biology Section
Hirsh Komarow,MD,Laboratory of Allergic Diseases,Mast Cell Biology Section
Jonathan Lyons,MD,Laboratory of Allergic Diseases,Translational Allergic Immunopathology Unit
Karen Laky,PhD,Laboratory of Allergic Diseases,Food Allergy Research Section
Kirk Druey,MD,Laboratory of Allergic Diseases,Lung and Vascular Inflammation Section
Melody Carter,MD,Laboratory of Allergic Diseases,Mast Cell Biology Section
Michael O'Connell,PhD,Laboratory of Allergic Diseases,Translational Allergic Immunopathology Unit
Pamela Guerrerio,MD,Laboratory of Allergic Diseases,Food Allergy Research Section
Pamela Guerrerio,PhD,Laboratory of Allergic Diseases,Food Allergy Research Section
Paneez Khoury,MD,Laboratory of Allergic Diseases,Allergy and Immunology Clinical Training Program
Paneez Khoury,MHSc,Laboratory of Allergic Diseases,Allergy and Immunology Clinical Training Program
Zhihui Xie,PhD,Laboratory of Allergic Diseases,Lung and Vascular Inflammation Section
Ashley Groshong,PhD,Laboratory of Bacteriology,Bacterial Physiology and Metabolism Unit
B Joseph Hinnebusch,PhD,Laboratory of Bacteriology,Plague Section
Carrie Mae Long,PhD,Laboratory of Bacteriology,Coxiella Pathogenesis Section
Catharine M Bosio,PhD,Laboratory of Bacteriology,Immunity to Pulmonary Pathogens Section
Frank Gherardini,PhD,Laboratory of Bacteriology,Gene Regulation Section
Frank R DeLeo,PhD,Laboratory of Bacteriology,Pathogen-Host Cell Biology Section
Lucas Tirloni,PhD,Laboratory of Bacteriology,Tick-Pathogen Transmission Unit
Michael Otto,PhD,Laboratory of Bacteriology,Pathogen Molecular Genetics Section
Olivia Steele-Mortimer,PhD,Laboratory of Bacteriology,Salmonella-Host Cell Interactions Section
Patricia Rosa,PhD,Laboratory of Bacteriology,Molecular Genetics Section (Laboratory of Bacteriology)
Robert Heinzen,PhD,Laboratory of Bacteriology,Coxiella Pathogenesis Section
Tais B Saito,DVM,Laboratory of Bacteriology,Vector-Pathogen-Host Interaction Unit
Tais B Saito,PhD,Laboratory of Bacteriology,Vector-Pathogen-Host Interaction Unit
Tais B Saito,MS,Laboratory of Bacteriology,Vector-Pathogen-Host Interaction Unit
Ted Hackstadt,PhD,Laboratory of Bacteriology,Host-Parasite Interactions Section
Adriana Marques,MD,Laboratory of Clinical Immunology and Microbiology,Lyme Disease Studies Unit
Bibi Bielekova,MD,Laboratory of Clinical Immunology and Microbiology,Neuroimmunological Diseases Section
Clifton Barry,PhD,Laboratory of Clinical Immunology and Microbiology,Tuberculosis Research Section
D Rebecca Prevots,MPH,Laboratory of Clinical Immunology and Microbiology,Epidemiology and Population Studies Unit
D Rebecca Prevots,PhD,Laboratory of Clinical Immunology and Microbiology,Epidemiology and Population Studies Unit
Harlan D Caldwell,PhD,Laboratory of Clinical Immunology and Microbiology,Chlamydial Diseases Section
Harry L Malech,MD,Laboratory of Clinical Immunology and Microbiology,Genetic Immunotherapy Section
Heather Hickman,PhD,Laboratory of Clinical Immunology and Microbiology,Viral Immunity and Pathogenesis Unit
Helen Su,MD,Laboratory of Clinical Immunology and Microbiology,Human Immunological Diseases Section
Helen Su,PhD,Laboratory of Clinical Immunology and Microbiology,Human Immunological Diseases Section
Ian A Myles,MPH,Laboratory of Clinical Immunology and Microbiology,Epithelial Therapeutics Unit
Ian A Myles,MD,Laboratory of Clinical Immunology and Microbiology,Epithelial Therapeutics Unit
Jenna RE Bergerson,MD,Laboratory of Clinical Immunology and Microbiology,Primary Immune Deficiency Clinic
Jenna RE Bergerson,MPH,Laboratory of Clinical Immunology and Microbiology,Primary Immune Deficiency Clinic
Jennifer M Cuellar-Rodríguez,MD,Laboratory of Clinical Immunology and Microbiology,Transplant Infectious Diseases Consult Service
John E Bennett,MD,Laboratory of Clinical Immunology and Microbiology,Infectious Disease Fellowship Training Program
John Gallin,MD,Laboratory of Clinical Immunology and Microbiology,Clinical Pathophysiology Section
John P Dekker,MD,Laboratory of Clinical Immunology and Microbiology,Bacterial Pathogenesis and Antimicrobial Resistance Unit
John P Dekker,PhD,Laboratory of Clinical Immunology and Microbiology,Bacterial Pathogenesis and Antimicrobial Resistance Unit
KJ Kwon-Chung,PhD,Laboratory of Clinical Immunology and Microbiology,Molecular Microbiology Section
Katrin D Mayer-Barber,Dr rer nat,Laboratory of Clinical Immunology and Microbiology,Inflammation & Innate Immunity Unit
Katrin D Mayer-Barber,PhD,Laboratory of Clinical Immunology and Microbiology,Inflammation & Innate Immunity Unit
Luigi D Notarangelo,MD,Laboratory of Clinical Immunology and Microbiology,Immune Deficiency Genetics Section
Michail Lionakis,ScD,Laboratory of Clinical Immunology and Microbiology,Fungal Pathogenesis Section
Michail Lionakis,MD,Laboratory of Clinical Immunology and Microbiology,Fungal Pathogenesis Section
Peter Williamson,MD,Laboratory of Clinical Immunology and Microbiology,Translational Mycology Section
Peter Williamson,PhD,Laboratory of Clinical Immunology and Microbiology,Translational Mycology Section
Raphaela T Goldbach-Mansky,MHS,Laboratory of Clinical Immunology and Microbiology,Translational Autoinflammatory Disease Studies Unit
Raphaela T Goldbach-Mansky,MD,Laboratory of Clinical Immunology and Microbiology,Translational Autoinflammatory Disease Studies Unit
Robert Munford,MD,Laboratory of Clinical Immunology and Microbiology,Antibacterial Host Defense Unit
Steven Holland,MD,Laboratory of Clinical Immunology and Microbiology,Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology)
Thomas Leto,PhD,Laboratory of Clinical Immunology and Microbiology,Molecular Defenses Section
V Koneti Rao,MD,Laboratory of Clinical Immunology and Microbiology,Primary Immune Deficiency Clinic
Warren Strober,MD,Laboratory of Clinical Immunology and Microbiology,Mucosal Immunity Section
Suchitra Hourigan,MD,Laboratory of Host Immunity and Microbiome (LHIM),Clinical Microbiome Unit (CMU)
Yasmine Belkaid,PhD,Laboratory of Host Immunity and Microbiome (LHIM),Metaorganism Immunity Section
Aleksandra Nita-Lazar,PhD,Laboratory of Immune System Biology,Functional Cellular Networks Section
B J Fowlkes,PhD,Laboratory of Immune System Biology,T Cell Development Section
David H Margulies,MD,Laboratory of Immune System Biology,Molecular Biology Section
David H Margulies,PhD,Laboratory of Immune System Biology,Molecular Biology Section
Ethan Shevach,MD,Laboratory of Immune System Biology,Cellular Immunology Section
Iain Fraser,PhD,Laboratory of Immune System Biology,Signaling Systems Section
Jinfang Zhu,PhD,Laboratory of Immune System Biology,Molecular and Cellular Immunoregulation Section
John Tsang,PhD,Laboratory of Immune System Biology,Multiscale Systems Biology Section
Martin Meier-Schellersheim,PhD,Laboratory of Immune System Biology,Computational Biology Unit
Michael Lenardo,MD,Laboratory of Immune System Biology,Molecular Development of the Immune System Section
Pamela L Schwartzberg,MD,Laboratory of Immune System Biology,Cell Signaling and Immunity Section
Pamela L Schwartzberg,PhD,Laboratory of Immune System Biology,Cell Signaling and Immunity Section
Ronald Germain,PhD,Laboratory of Immune System Biology,Lymphocyte Biology Section
Ronald Germain,MD,Laboratory of Immune System Biology,Lymphocyte Biology Section
Rose Mage,PhD,Laboratory of Immune System Biology,Scientist Emerita
Stefan Muljo,PhD,Laboratory of Immune System Biology,Integrative Immunobiology Section
Chen-Feng Qi,MD,Laboratory of Immunogenetics,Pathology Core
Chen-Feng Qi,PhD,Laboratory of Immunogenetics,Pathology Core
Eric Long,PhD,Laboratory of Immunogenetics,Molecular and Cellular Immunology Section
Joseph Brzostowski,PhD,Laboratory of Immunogenetics,Twinbrook Imaging Facility
Joseph Brzostowski,PhD,Laboratory of Immunogenetics,Twinbrook Imaging Facility
Joshua Tan,PhD,Laboratory of Immunogenetics,Antibody Biology Unit
Peter D Crompton,MD,Laboratory of Immunogenetics,Malaria Infection Biology and Immunity Section
Peter D Crompton,MPH,Laboratory of Immunogenetics,Malaria Infection Biology and Immunity Section
Peter Sun,PhD,Laboratory of Immunogenetics,Structural Immunology Section
Polly Matzinger,PhD,Laboratory of Immunogenetics,T-Cell Tolerance and Memory Section
Silvia Bolland,PhD,Laboratory of Immunogenetics,Autoimmunity and Functional Genomics Section
Sumati Rajagopalan,PhD,Laboratory of Immunogenetics,Molecular and Cellular Immunology Section
Susan Pierce,PhD,Laboratory of Immunogenetics,Lymphocyte Activation Section
Tian Jin,PhD,Laboratory of Immunogenetics,Chemotaxis Signal Section
Victor Lobanenkov,PhD,Laboratory of Immunogenetics,Molecular Pathology Section
Anthony S Fauci,MD,Laboratory of Immunoregulation,Immunopathogenesis Section (Laboratory of Immunoregulation)
H Clifford Lane,MD,Laboratory of Immunoregulation,Clinical and Molecular Retrovirology Section
Irini Sereti,MD,Laboratory of Immunoregulation,HIV Pathogenesis Section
John Kehrl,MD,Laboratory of Immunoregulation,B-Cell Molecular Immunology Section
Mark Connors,MD,Laboratory of Immunoregulation,HIV-Specific Immunity Section
Paolo Lusso,PhD,Laboratory of Immunoregulation,Viral Pathogenesis Section (Laboratory of Immunoregulation)
Paolo Lusso,MD,Laboratory of Immunoregulation,Viral Pathogenesis Section (Laboratory of Immunoregulation)
Richard T Davey,MD,Laboratory of Immunoregulation,Clinical Research Section
Steven J Reynolds,MD,Laboratory of Immunoregulation,International HIV/STD Section
Steven J Reynolds,MPH,Laboratory of Immunoregulation,International HIV/STD Section
Susan Moir,PhD,Laboratory of Immunoregulation,B-Cell Immunology Section
Tae-Wook Chun,PhD,Laboratory of Immunoregulation,HIV Immunovirology Section
Thomas C Quinn,MD,Laboratory of Immunoregulation,International HIV/STD Section
Thomas C Quinn,MSc,Laboratory of Immunoregulation,International HIV/STD Section
Audray Harris,PhD,Laboratory of Infectious Diseases,Structural Informatics Unit
Jeffery Taubenberger,PhD,Laboratory of Infectious Diseases,Viral Pathogenesis and Evolution Section
Jeffery Taubenberger,MD,Laboratory of Infectious Diseases,Viral Pathogenesis and Evolution Section
Jeffrey I Cohen,MD,Laboratory of Infectious Diseases,Medical Virology Section
Jeffrey I Cohen,MD,Laboratory of Infectious Diseases,Emerging Respiratory Viruses Section
Jessica R Durkee-Shock,MD,Laboratory of Infectious Diseases,Medical Virology Section
Joseph Marcotrigiano,PhD,Laboratory of Infectious Diseases,Structural Virology Section
Kim Green,PhD,Laboratory of Infectious Diseases,Caliciviruses Section
Leah C Katzelnick,MPH,Laboratory of Infectious Diseases,Viral Epidemiology and Immunity Unit
Leah C Katzelnick,PhD,Laboratory of Infectious Diseases,Viral Epidemiology and Immunity Unit
Matthew J Memoli,MS,Laboratory of Infectious Diseases,LID Clinical Studies Unit
Matthew J Memoli,MD,Laboratory of Infectious Diseases,LID Clinical Studies Unit
Mattia Bonsignori,MS,Laboratory of Infectious Diseases,Translational Immunobiology Unit
Mattia Bonsignori,MD,Laboratory of Infectious Diseases,Translational Immunobiology Unit
Patrizia Farci,MD,Laboratory of Infectious Diseases,Hepatic Pathogenesis Section
Ursula Buchholz,PhD,Laboratory of Infectious Diseases,RNA Viruses Section
Michal Fried,PhD,Laboratory of Malaria Immunology and Vaccinology,Molecular Pathogenesis and Biomarkers Section
Niraj Harish Tolia,PhD,Laboratory of Malaria Immunology and Vaccinology,Host-Pathogen Interactions and Structural Vaccinology Section
Patrick E Duffy,MD,Laboratory of Malaria Immunology and Vaccinology,Pathogenesis and Immunity Section
Patrick E Duffy,MD,Laboratory of Malaria Immunology and Vaccinology,Vaccine Development Unit
Carole Long,PhD,Laboratory of Malaria and Vector Research,Malaria Immunology Section
Carolina Barillas-Mury,PhD,Laboratory of Malaria and Vector Research,Mosquito Immunity and Vector Competence Section
Carolina Barillas-Mury,MD,Laboratory of Malaria and Vector Research,Mosquito Immunity and Vector Competence Section
Eric Calvo,PhD,Laboratory of Malaria and Vector Research,Molecular Entomology Unit
Hans Ackerman,MSc,Laboratory of Malaria and Vector Research,Physiology Unit
Hans Ackerman,MD,Laboratory of Malaria and Vector Research,Physiology Unit
Hans Ackerman,DPhil,Laboratory of Malaria and Vector Research,Physiology Unit
Jessica E Manning,MSc,Laboratory of Malaria and Vector Research,NIAID International Center of Excellence in Research Cambodia
Jessica E Manning,MD,Laboratory of Malaria and Vector Research,NIAID International Center of Excellence in Research Cambodia
Jesus Valenzuela,PhD,Laboratory of Malaria and Vector Research,Vector Molecular Biology Section
Joel Vega-Rodriguez,PhD,Laboratory of Malaria and Vector Research,Molecular Parasitology and Entomology Unit
José Ribeiro,MD,Laboratory of Malaria and Vector Research,Vector Biology Section
José Ribeiro,PhD,Laboratory of Malaria and Vector Research,Vector Biology Section
Louis H Miller,MD,Laboratory of Malaria and Vector Research,Malaria Cell Biology Section
Parker Ruhl,MD,Laboratory of Malaria and Vector Research,Physiology Unit
Parker Ruhl,MHS,Laboratory of Malaria and Vector Research,Physiology Unit
Sanjay Desai,MD,Laboratory of Malaria and Vector Research,Apicomplexan Molecular Physiology Section
Sanjay Desai,PhD,Laboratory of Malaria and Vector Research,Apicomplexan Molecular Physiology Section
Shaden Kamhawi,PhD,Laboratory of Malaria and Vector Research,Vector Molecular Biology Section
Thomas Wellems,MD,Laboratory of Malaria and Vector Research,Malaria Genetics Section
Thomas Wellems,PhD,Laboratory of Malaria and Vector Research,Malaria Genetics Section
Tovi Lehmann,PhD,Laboratory of Malaria and Vector Research,Malaria Genetics Section
Xin-zhuan Su,PhD,Laboratory of Malaria and Vector Research,Malaria Functional Genomics Section
Brian Kelsall,MD,Laboratory of Molecular Immunology,Mucosal Immunobiology Section
Joshua Farber,MD,Laboratory of Molecular Immunology,Inflammation Biology Section
Philip Murphy,MD,Laboratory of Molecular Immunology,Molecular Signaling Section
Philip Murphy,MD,Laboratory of Molecular Immunology,Immune Activation Section
Christine Kozak,PhD,Laboratory of Molecular Microbiology,Viral Biology Section
Fadila Bouamr,PhD,Laboratory of Molecular Microbiology,Nonhuman Primate Virology Section
Fadila Bouamr,PhD,Laboratory of Molecular Microbiology,Viral Budding Unit
Klaus Strebel,PhD,Laboratory of Molecular Microbiology,Viral Biochemistry Section
Malcolm A Martin,MD,Laboratory of Molecular Microbiology,Viral Pathogenesis and Vaccine Section
Vanessa M Hirsch,DSc,Laboratory of Molecular Microbiology,Nonhuman Primate Virology Section
Vanessa M Hirsch,DVM,Laboratory of Molecular Microbiology,Nonhuman Primate Virology Section
Alan Sher,PhD,Laboratory of Parasitic Diseases,Immunobiology Section
Amy Klion,MD,Laboratory of Parasitic Diseases,Human Eosinophil Section
Daniel L Barber,PhD,Laboratory of Parasitic Diseases,T-Lymphocyte Biology Section
David L Sacks,PhD,Laboratory of Parasitic Diseases,Intracellular Parasite Biology Section
Denis Voronin,PhD,Laboratory of Parasitic Diseases,Systems Genomics Section
Elise M O'Connell,MD,Laboratory of Parasitic Diseases,Helminth Immunology Section
Elodie Ghedin,PhD,Laboratory of Parasitic Diseases,Systems Genomics Section
Mahtab Moayeri,PhD,Laboratory of Parasitic Diseases,Microbial Pathogenesis Section
Michael Grigg,PhD,Laboratory of Parasitic Diseases,Molecular Parasitology Section
Paneez Khoury,MD,Laboratory of Parasitic Diseases,Human Eosinophil Section
Paneez Khoury,MHSc,Laboratory of Parasitic Diseases,Human Eosinophil Section
P’ng Loke,PhD,Laboratory of Parasitic Diseases,Type 2 Immunity Section
Sang Hun Lee,PhD,Laboratory of Parasitic Diseases,Intracellular Parasite Biology Section
Sasisekhar Bennuru,PhD,Laboratory of Parasitic Diseases,Helminth Immunology Section
Stephen H Leppla,PhD,Laboratory of Parasitic Diseases,Microbial Pathogenesis Section
Thomas Nutman,MD,Laboratory of Parasitic Diseases,Helminth Immunology Section
Bruce W Chesebro,MD,Laboratory of Persistent Viral Diseases,TSE/Prion and Retroviral Pathogenesis Section
Byron Caughey,PhD,Laboratory of Persistent Viral Diseases,TSE/Prion Biochemistry Section
Cathryn L Haigh,PhD,Laboratory of Persistent Viral Diseases,Prion Cell Biology Unit
Karin Peterson,PhD,Laboratory of Persistent Viral Diseases,Neuroimmunology Unit
Kim J Hasenkrug,PhD,Laboratory of Persistent Viral Diseases,Retroviral Immunology Section
Suzette A Priola,PhD,Laboratory of Persistent Viral Diseases,TSE/Prion Molecular Biology Section
Alison McBride,PhD,Laboratory of Viral Diseases,DNA Tumor Virus Section
Bernard Moss,MD,Laboratory of Viral Diseases,Genetic Engineering Section
Bernard Moss,PhD,Laboratory of Viral Diseases,Genetic Engineering Section
Jason Brenchley,PhD,Laboratory of Viral Diseases,Barrier Immunity Section
Jonathan Wilson Yewdell,PhD,Laboratory of Viral Diseases,Cellular Biology Section
Jonathan Wilson Yewdell,MD,Laboratory of Viral Diseases,Cellular Biology Section
Julie M Fox,PhD,Laboratory of Viral Diseases,Emerging Virus Immunity Unit
Patrick T Dolan,PhD,Laboratory of Viral Diseases,Quantitative Virology and Evolution Unit
Ted Pierson,PhD,Laboratory of Viral Diseases,Viral Pathogenesis Section (Laboratory of Viral Diseases)
Thomas M Kristie,PhD,Laboratory of Viral Diseases,Molecular Genetics Section (Laboratory of Viral Diseases)
Andrea Marzi,PhD,Laboratory of Virology,Immunobiology and Molecular Virology Unit
Emmie de Wit,PhD,Laboratory of Virology,Molecular Pathogenesis Unit
Heinz Feldmann,PhD,Laboratory of Virology,Disease Modeling and Transmission Section
Heinz Feldmann,MD,Laboratory of Virology,Disease Modeling and Transmission Section
Marshall E Bloom,MD,Laboratory of Virology,Biology of Vector-Borne Viruses Section
Sonja M Best,PhD,Laboratory of Virology,Innate Immunity and Pathogenesis Section
Vincent Munster,PhD,Laboratory of Virology,Virus Ecology Section
Maureen M Goodenow,PhD,Molecular HIV Host Interactions Section,Molecular HIV Host Interactions Section
Aaron Carmody,MS,Research Technologies Branch,RML Flow Cytometry Unit
Anita Mora,Other,Research Technologies Branch,Visual and Medical Arts Unit
Craig Martens,PhD,Research Technologies Branch,RML Genomics Unit
David N Garboczi,PhD,Research Technologies Branch,Structural Biology Section
Elizabeth R Fischer,MA,Research Technologies Branch,RML Microscopy Unit
Iyadh Douagi,PhD,Research Technologies Branch,Flow Cytometry Section
James M Cherry,PhD,Research Technologies Branch,Research Technology Branch
L Renee Olano,PhD,Research Technologies Branch,Protein Chemistry Section
Owen M Schwartz,PhD,Research Technologies Branch,Biological Imaging
Timothy G Myers,PhD,Research Technologies Branch,Genomic Technologies Section
Jack Bennink,PhD,Viral Immunology Section,Viral Immunology Section
